Concepts count,Axioms count,Probability axioms count,SAT proportion mean,Time mean,SAT proportion std,Time std
700,0.14285714285714285,10,1.0,0.021336307048797607,0.0,0.009499238634191378
700,0.15714285714285714,10,1.0,0.021396801948547362,0.0,0.009154079953204667
700,0.17142857142857143,10,1.0,0.022072931289672852,0.0,0.009743405023004924
700,0.18571428571428572,10,1.0,0.022511561393737792,0.0,0.010382389225108578
700,0.2,10,1.0,0.022266090393066405,0.0,0.009299795704663128
700,0.21428571428571427,10,1.0,0.02298332452774048,0.0,0.009193531804192374
700,0.22857142857142856,10,1.0,0.023382728576660156,0.0,0.009124100764423274
700,0.24285714285714285,10,0.992,0.024985247611999512,0.08908422980528048,0.010814520608086084
700,0.2571428571428571,10,1.0,0.025312288761138915,0.0,0.01033589670497681
700,0.2714285714285714,10,0.998,0.025562218189239504,0.0446766158073774,0.010583885603591747
700,0.2857142857142857,10,0.998,0.025871296405792235,0.04467661580737736,0.011206563080556347
700,0.3,10,1.0,0.025877474784851074,0.0,0.010809642989246804
700,0.3142857142857143,10,1.0,0.026584502696990968,0.0,0.01113136420939718
700,0.32857142857142857,10,1.0,0.02640845012664795,0.0,0.010331916638900795
700,0.34285714285714286,10,0.998,0.027525963306427002,0.04467661580737739,0.010843615329804086
700,0.35714285714285715,10,0.998,0.02803144407272339,0.04467661580737738,0.010998906965297256
700,0.37142857142857144,10,1.0,0.02807862663269043,0.0,0.010906114426176578
700,0.38571428571428573,10,0.998,0.02850188493728638,0.04467661580737739,0.011336099963120927
700,0.4,10,1.0,0.029687620162963866,0.0,0.011563877263488308
700,0.4142857142857143,10,0.996,0.029821977615356446,0.06311893535223806,0.011016692913665511
700,0.42857142857142855,10,0.998,0.030226072788238526,0.044676615807377355,0.012074550901781623
700,0.44285714285714284,10,0.996,0.030874003887176513,0.06311893535223807,0.011937349987216123
700,0.45714285714285713,10,0.996,0.031233390808105468,0.06311893535223805,0.012770162516848014
700,0.4714285714285714,10,0.998,0.032369872570037844,0.044676615807377376,0.012755436828021266
700,0.4857142857142857,10,0.994,0.032265344619750974,0.07722693830523124,0.012709918336562057
700,0.5,10,1.0,0.03217551565170288,0.0,0.013103617126331213
700,0.5142857142857142,10,1.0,0.033501396656036374,0.0,0.0139335382765573
700,0.5285714285714286,10,0.998,0.033045269012451174,0.04467661580737737,0.013046133795305568
700,0.5428571428571428,10,0.994,0.033679452419281004,0.07722693830523147,0.013147830160379641
700,0.5571428571428572,10,0.998,0.03411773014068604,0.044676615807377355,0.012613518462163985
700,0.5714285714285714,10,0.994,0.03571586751937866,0.0772269383052314,0.01285919457728893
700,0.5857142857142857,10,0.998,0.03451264190673828,0.0446766158073774,0.012498305428172438
700,0.6,10,0.996,0.03532262134552002,0.0631189353522381,0.013779746727208254
700,0.6142857142857143,10,0.998,0.036121463298797604,0.04467661580737738,0.014916713293426961
700,0.6285714285714286,10,0.994,0.03787870073318481,0.07722693830523124,0.014545261091537982
700,0.6428571428571429,10,0.996,0.03771313762664795,0.06311893535223811,0.01370610028704008
700,0.6571428571428571,10,0.992,0.037417511463165284,0.08908422980528044,0.01430618826782938
700,0.6714285714285714,10,0.996,0.03865545034408569,0.0631189353522381,0.015078631773174039
700,0.6857142857142857,10,0.996,0.03841314697265625,0.06311893535223809,0.014390783189897467
700,0.7,10,0.994,0.039084909439086914,0.07722693830523163,0.015371767420450771
700,0.7142857142857143,10,0.994,0.039298216819763185,0.07722693830523168,0.015878339361077482
700,0.7285714285714285,10,0.99,0.04034299850463867,0.09949874371066249,0.0151389941036452
700,0.7428571428571429,10,0.994,0.04067556142807007,0.0772269383052315,0.01526916301556929
700,0.7571428571428571,10,0.988,0.040887432098388674,0.10888526071052967,0.016228922537056874
700,0.7714285714285715,10,0.99,0.04110040283203125,0.09949874371066236,0.015688020034440024
700,0.7857142857142857,10,0.992,0.04276407384872437,0.08908422980528061,0.016346992253645717
700,0.8,10,0.992,0.04210606622695923,0.08908422980528048,0.015564541176813228
700,0.8142857142857143,10,0.992,0.04268998098373413,0.08908422980528043,0.01709054280499284
700,0.8285714285714286,10,0.986,0.043455500602722165,0.11749042514179585,0.016432357092743297
700,0.8428571428571429,10,0.986,0.043212233543396,0.11749042514179601,0.016386155432498228
700,0.8571428571428571,10,0.982,0.04467604875564575,0.1329511188369625,0.01685989587448003
700,0.8714285714285714,10,0.98,0.04493445634841919,0.14000000000000076,0.017110778113973248
700,0.8857142857142857,10,0.98,0.0458612470626831,0.14000000000000057,0.01781756708710105
700,0.9,10,0.974,0.04584401559829712,0.15913516267626154,0.018728552908941945
700,0.9142857142857143,10,0.974,0.04482446956634521,0.15913516267626174,0.017796925231986935
700,0.9285714285714286,10,0.982,0.047268297672271725,0.1329511188369623,0.018543902337703765
700,0.9428571428571428,10,0.988,0.04836782360076904,0.10888526071052933,0.018538712048705087
700,0.9571428571428572,10,0.978,0.04670636701583862,0.1466833323864715,0.0183818719709865
700,0.9714285714285714,10,0.962,0.0479253396987915,0.1911962342725391,0.01932053652712074
700,0.9857142857142858,10,0.954,0.04793680953979492,0.20948508300115365,0.018870548279614895
700,1.0,10,0.964,0.04805037832260132,0.18629009635512023,0.018819650847406222
