moving_param,concepts_count,axioms_count,prob_axioms_count,time_mean,time_std
concepts_count,10,10,10,0.010161962509155274,0.004228051224613855
concepts_count,30,10,10,0.012068228721618652,0.003637192087759259
concepts_count,50,10,10,0.01172318696975708,0.002897070963654418
concepts_count,70,10,10,0.01246903657913208,0.0033779858335894982
concepts_count,90,10,10,0.011781275272369385,0.0027560834334540906
concepts_count,110,10,10,0.012846372127532958,0.003536653291263924
concepts_count,130,10,10,0.012445106506347656,0.0032015723971110456
concepts_count,150,10,10,0.0128202223777771,0.004443317776168859
concepts_count,170,10,10,0.01264662504196167,0.0036955561582820424
concepts_count,190,10,10,0.012923107147216797,0.003909248997679286
axioms_count,10,10,10,0.010173587799072266,0.003922497657971121
axioms_count,10,30,10,0.006473326683044433,0.0024195564780368833
axioms_count,10,50,10,0.006416556835174561,0.001949737147293871
axioms_count,10,70,10,0.006362404823303223,0.000622785175275398
axioms_count,10,90,10,0.006798903942108154,0.001985433899592893
axioms_count,10,110,10,0.0070850133895874025,0.0020319765723777524
axioms_count,10,130,10,0.006864063739776612,0.0005355818854657824
axioms_count,10,150,10,0.007179665565490723,0.0007552382138941589
axioms_count,10,170,10,0.007540435791015625,0.002208359115162121
axioms_count,10,190,10,0.007679903507232666,0.002168937336081258
prob_axioms_count,10,10,1,0.0017050719261169434,0.0005029169262013368
prob_axioms_count,10,10,21,0.013540427684783935,0.007450591548305473
prob_axioms_count,10,10,41,0.06011455535888672,0.04412857895821728
prob_axioms_count,10,10,61,0.0908889627456665,0.06934947555003475
prob_axioms_count,10,10,81,0.14571608543395997,0.10734414444116584
