moving_param,concepts_count,axioms_count,prob_axioms_count,time_mean,time_std
concepts_count,11,100,10,0.013368844985961914,0.0
concepts_count,12,100,10,0.013636112213134766,0.0
concepts_count,13,100,10,0.012812376022338867,0.0
concepts_count,14,100,10,0.014472246170043945,0.0
concepts_count,15,100,10,0.008476495742797852,0.0
concepts_count,16,100,10,0.010794401168823242,0.0
concepts_count,17,100,10,0.013959169387817383,0.0
concepts_count,18,100,10,0.013203144073486328,0.0
concepts_count,19,100,10,0.013387680053710938,0.0
concepts_count,20,100,10,0.008453845977783203,0.0
concepts_count,21,100,10,0.011937618255615234,0.0
concepts_count,22,100,10,0.008353233337402344,0.0
concepts_count,23,100,10,0.008169174194335938,0.0
concepts_count,24,100,10,0.008854389190673828,0.0
concepts_count,25,100,10,0.008600711822509766,0.0
concepts_count,26,100,10,0.011046648025512695,0.0
concepts_count,27,100,10,0.009272098541259766,0.0
concepts_count,28,100,10,0.009750843048095703,0.0
concepts_count,29,100,10,0.007904291152954102,0.0
concepts_count,30,100,10,0.013170242309570312,0.0
concepts_count,31,100,10,0.008660316467285156,0.0
concepts_count,32,100,10,0.007787466049194336,0.0
concepts_count,33,100,10,0.008579015731811523,0.0
concepts_count,34,100,10,0.009647130966186523,0.0
concepts_count,35,100,10,0.008943319320678711,0.0
concepts_count,36,100,10,0.019181251525878906,0.0
concepts_count,37,100,10,0.007880210876464844,0.0
concepts_count,38,100,10,0.008182764053344727,0.0
concepts_count,39,100,10,0.008918046951293945,0.0
concepts_count,40,100,10,0.010989904403686523,0.0
concepts_count,41,100,10,0.008032798767089844,0.0
concepts_count,42,100,10,0.00916743278503418,0.0
concepts_count,43,100,10,0.007646322250366211,0.0
concepts_count,44,100,10,0.02931833267211914,0.0
concepts_count,45,100,10,0.012441635131835938,0.0
concepts_count,46,100,10,0.007293224334716797,0.0
concepts_count,47,100,10,0.012562990188598633,0.0
concepts_count,48,100,10,0.009383916854858398,0.0
concepts_count,49,100,10,0.01668262481689453,0.0
concepts_count,50,100,10,0.008380889892578125,0.0
concepts_count,51,100,10,0.0229647159576416,0.0
concepts_count,52,100,10,0.023293495178222656,0.0
concepts_count,53,100,10,0.008747577667236328,0.0
concepts_count,54,100,10,0.0088653564453125,0.0
concepts_count,55,100,10,0.007456302642822266,0.0
concepts_count,56,100,10,0.010729551315307617,0.0
concepts_count,57,100,10,0.007354021072387695,0.0
concepts_count,58,100,10,0.021219253540039062,0.0
concepts_count,59,100,10,0.008944034576416016,0.0
concepts_count,60,100,10,0.008456230163574219,0.0
concepts_count,61,100,10,0.008697748184204102,0.0
concepts_count,62,100,10,0.012455224990844727,0.0
concepts_count,63,100,10,0.007802009582519531,0.0
concepts_count,64,100,10,0.008732318878173828,0.0
concepts_count,65,100,10,0.0075473785400390625,0.0
concepts_count,66,100,10,0.016590118408203125,0.0
concepts_count,67,100,10,0.009293556213378906,0.0
concepts_count,68,100,10,0.008403778076171875,0.0
concepts_count,69,100,10,0.007702350616455078,0.0
concepts_count,70,100,10,0.01583075523376465,0.0
concepts_count,71,100,10,0.009202241897583008,0.0
concepts_count,72,100,10,0.012197732925415039,0.0
concepts_count,73,100,10,0.02060532569885254,0.0
concepts_count,74,100,10,0.007363319396972656,0.0
concepts_count,75,100,10,0.01569509506225586,0.0
concepts_count,76,100,10,0.025584936141967773,0.0
concepts_count,77,100,10,0.015299320220947266,0.0
concepts_count,78,100,10,0.00957798957824707,0.0
concepts_count,79,100,10,0.02436375617980957,0.0
concepts_count,80,100,10,0.015578269958496094,0.0
concepts_count,81,100,10,0.00843501091003418,0.0
concepts_count,82,100,10,0.02064228057861328,0.0
concepts_count,83,100,10,0.016628265380859375,0.0
concepts_count,84,100,10,0.00857234001159668,0.0
concepts_count,85,100,10,0.015897035598754883,0.0
concepts_count,86,100,10,0.021756410598754883,0.0
concepts_count,87,100,10,0.018287181854248047,0.0
concepts_count,88,100,10,0.025118112564086914,0.0
concepts_count,89,100,10,0.019037485122680664,0.0
concepts_count,90,100,10,0.01896524429321289,0.0
concepts_count,91,100,10,0.015944480895996094,0.0
concepts_count,92,100,10,0.015276432037353516,0.0
concepts_count,93,100,10,0.023847103118896484,0.0
concepts_count,94,100,10,0.021733522415161133,0.0
concepts_count,95,100,10,0.019400358200073242,0.0
concepts_count,96,100,10,0.016587018966674805,0.0
concepts_count,97,100,10,0.016082763671875,0.0
concepts_count,98,100,10,0.023053884506225586,0.0
concepts_count,99,100,10,0.04241156578063965,0.0
axioms_count,60,11,10,0.01076364517211914,0.0
axioms_count,60,12,10,0.020896434783935547,0.0
axioms_count,60,13,10,0.012404680252075195,0.0
axioms_count,60,14,10,0.01323390007019043,0.0
axioms_count,60,15,10,0.016692638397216797,0.0
axioms_count,60,16,10,0.017952442169189453,0.0
axioms_count,60,17,10,0.02439141273498535,0.0
axioms_count,60,18,10,0.016234636306762695,0.0
axioms_count,60,19,10,0.020346403121948242,0.0
axioms_count,60,20,10,0.015208959579467773,0.0
axioms_count,60,21,10,0.015052318572998047,0.0
axioms_count,60,22,10,0.010373592376708984,0.0
axioms_count,60,23,10,0.019852399826049805,0.0
axioms_count,60,24,10,0.01283407211303711,0.0
axioms_count,60,25,10,0.020560503005981445,0.0
axioms_count,60,26,10,0.01866745948791504,0.0
axioms_count,60,27,10,0.012776851654052734,0.0
axioms_count,60,28,10,0.019092798233032227,0.0
axioms_count,60,29,10,0.01761794090270996,0.0
axioms_count,60,30,10,0.01453542709350586,0.0
axioms_count,60,31,10,0.017768144607543945,0.0
axioms_count,60,32,10,0.01209878921508789,0.0
axioms_count,60,33,10,0.0213165283203125,0.0
