Concepts count,Axioms count,Probability axioms count,SAT proportion mean,Time mean,SAT proportion std,Time std
1000,0.11,10,1.0,0.025753235816955565,0.0,0.01764624467704556
1000,0.12,10,1.0,0.023681137561798096,0.0,0.010411823155254697
1000,0.13,10,1.0,0.023780419826507568,0.0,0.011353119401313717
1000,0.14,10,1.0,0.025365362167358397,0.0,0.011957917089224945
1000,0.15,10,1.0,0.02325390338897705,0.0,0.009934633940538383
1000,0.16,10,1.0,0.02830216884613037,0.0,0.014474191386707202
1000,0.17,10,1.0,0.026309385299682617,0.0,0.010810078307866228
1000,0.18,10,1.0,0.027191531658172608,0.0,0.012912524156741828
1000,0.19,10,1.0,0.027712371349334717,0.0,0.011716091529780922
1000,0.2,10,1.0,0.028090782165527343,0.0,0.012720247258096005
1000,0.21,10,1.0,0.028411133289337157,0.0,0.011410317924190313
1000,0.22,10,1.0,0.0270318865776062,0.0,0.011577016146911956
1000,0.23,10,1.0,0.028162138462066652,0.0,0.011748818811808576
1000,0.24,10,1.0,0.029214320182800294,0.0,0.012193653394401262
1000,0.25,10,1.0,0.03164249897003174,0.0,0.014432570294998484
1000,0.26,10,1.0,0.03182480812072754,0.0,0.014544615556899024
1000,0.27,10,1.0,0.03159706592559815,0.0,0.014001044796291835
1000,0.28,10,1.0,0.03272290468215942,0.0,0.012830232428700974
1000,0.29,10,1.0,0.03171228885650635,0.0,0.012897007383644837
1000,0.3,10,1.0,0.03121870517730713,0.0,0.011641767490903189
1000,0.31,10,1.0,0.032788307666778566,0.0,0.01347906934185838
1000,0.32,10,0.99,0.03246259212493897,0.09949874371066199,0.012940827031989365
1000,0.33,10,1.0,0.035520987510681154,0.0,0.014007807544562758
1000,0.34,10,1.0,0.03360378980636597,0.0,0.013596608692723377
1000,0.35,10,1.0,0.03575954914093018,0.0,0.013076840736970356
1000,0.36,10,1.0,0.034709959030151366,0.0,0.01493855873237302
1000,0.37,10,1.0,0.03989799499511719,0.0,0.016435767825256638
1000,0.38,10,1.0,0.03843698263168335,0.0,0.01484997463138859
1000,0.39,10,1.0,0.03744572877883911,0.0,0.016960609015929783
1000,0.4,10,1.0,0.044626350402832034,0.0,0.018782291392106656
1000,0.41,10,1.0,0.04015564680099487,0.0,0.016870829887818378
1000,0.42,10,1.0,0.03639043092727661,0.0,0.01487727013346192
1000,0.43,10,1.0,0.04024170875549316,0.0,0.013803747617371792
1000,0.44,10,1.0,0.04101675510406494,0.0,0.014739070799796907
1000,0.45,10,1.0,0.03961920738220215,0.0,0.01584607763733789
1000,0.46,10,1.0,0.039065754413604735,0.0,0.01460412216199585
1000,0.47,10,1.0,0.039206314086914065,0.0,0.01485456223510684
1000,0.48,10,1.0,0.041056110858917236,0.0,0.015478771010114297
1000,0.49,10,1.0,0.041128666400909425,0.0,0.01598743380753066
1000,0.5,10,0.99,0.043911681175231934,0.09949874371066199,0.017244993327288172
1000,0.51,10,1.0,0.043593225479125974,0.0,0.015553505620862862
1000,0.52,10,1.0,0.042071306705474855,0.0,0.015350774919431433
1000,0.53,10,1.0,0.0457912015914917,0.0,0.01839010066898631
1000,0.54,10,1.0,0.046571874618530275,0.0,0.018639779842403538
1000,0.55,10,1.0,0.04667676448822022,0.0,0.017912256263350263
1000,0.56,10,1.0,0.046261653900146485,0.0,0.01676577217127777
1000,0.57,10,1.0,0.04554939031600952,0.0,0.017151781230698493
1000,0.58,10,1.0,0.046578633785247806,0.0,0.0188986639030141
1000,0.59,10,1.0,0.04381499528884888,0.0,0.018780028706713487
1000,0.6,10,1.0,0.046939516067504884,0.0,0.01606089281999145
1000,0.61,10,0.99,0.04951256036758423,0.09949874371066196,0.02000664143550871
1000,0.62,10,1.0,0.04809185743331909,0.0,0.016508291016362142
1000,0.63,10,1.0,0.04949872016906738,0.0,0.01883742267309441
1000,0.64,10,1.0,0.04851738452911377,0.0,0.019463559269632405
1000,0.65,10,1.0,0.05261108160018921,0.0,0.019891691526217677
1000,0.66,10,0.99,0.05103266716003418,0.09949874371066197,0.02049037389867604
1000,0.67,10,1.0,0.054356906414031986,0.0,0.019583126281317816
1000,0.68,10,0.99,0.05091413736343384,0.09949874371066195,0.02098033307845196
1000,0.69,10,0.99,0.05425257921218872,0.09949874371066196,0.022854490140435436
1000,0.7,10,1.0,0.05219184398651123,0.0,0.018041323449531004
1000,0.71,10,1.0,0.05841468334197998,0.0,0.024744710492241737
1000,0.72,10,1.0,0.052868421077728274,0.0,0.019225201773215687
1000,0.73,10,0.99,0.055598392486572265,0.09949874371066195,0.02217685595017655
1000,0.74,10,0.98,0.056265454292297366,0.13999999999999985,0.022205515001043626
1000,0.75,10,1.0,0.05623386383056641,0.0,0.021084954607419163
1000,0.76,10,1.0,0.05960362434387207,0.0,0.02498776812492497
1000,0.77,10,1.0,0.05806946039199829,0.0,0.020834293663905677
1000,0.78,10,0.99,0.05997228860855103,0.09949874371066197,0.023035270804545132
1000,0.79,10,1.0,0.06782002687454224,0.0,0.026906500796655495
1000,0.8,10,0.99,0.059119462966918945,0.09949874371066199,0.023961633025150055
1000,0.81,10,0.99,0.0580144476890564,0.09949874371066195,0.022575359456796056
1000,0.82,10,0.97,0.06007446765899658,0.17058722109231989,0.02302037297083934
1000,0.83,10,1.0,0.06297766923904419,0.0,0.024395270122970658
1000,0.84,10,0.97,0.056599574089050295,0.1705872210923198,0.024129808323233456
1000,0.85,10,0.99,0.0632278323173523,0.09949874371066199,0.020682283234491457
1000,0.86,10,0.97,0.0625646185874939,0.17058722109231975,0.024895371122779304
