Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
40,2.025,10,0.244,0.02204486656188965
40,2.05,10,0.276,0.02383586311340332
40,2.075,10,0.278,0.02278514528274536
40,2.1,10,0.288,0.022163081169128417
40,2.125,10,0.28,0.022576601505279542
40,2.15,10,0.258,0.022967682361602782
40,2.175,10,0.276,0.024553489685058594
40,2.2,10,0.238,0.02101379346847534
40,2.225,10,0.19,0.019729365825653076
40,2.25,10,0.226,0.021641432285308838
40,2.275,10,0.192,0.01958597993850708
40,2.3,10,0.222,0.02199794292449951
40,2.325,10,0.19,0.019406191825866698
40,2.35,10,0.196,0.018993020057678223
40,2.375,10,0.166,0.017604036808013916
40,2.4,10,0.234,0.020395696640014647
40,2.425,10,0.206,0.0197506103515625
40,2.45,10,0.166,0.018590660095214845
40,2.475,10,0.196,0.01892255735397339
40,2.5,10,0.182,0.018768406867980956
40,2.525,10,0.152,0.016429608345031738
40,2.55,10,0.156,0.01705729293823242
40,2.575,10,0.156,0.018049121379852293
40,2.6,10,0.15,0.018261539459228517
40,2.625,10,0.136,0.016752370834350584
40,2.65,10,0.116,0.01623468351364136
40,2.675,10,0.142,0.01636074686050415
40,2.7,10,0.14,0.01752327823638916
40,2.725,10,0.128,0.016688863277435302
40,2.75,10,0.118,0.015545611381530761
40,2.775,10,0.118,0.015705381870269774
40,2.8,10,0.13,0.016552937984466554
40,2.825,10,0.104,0.014424965381622315
40,2.85,10,0.118,0.014612773418426513
40,2.875,10,0.106,0.014903334617614747
40,2.9,10,0.134,0.01638154363632202
40,2.925,10,0.084,0.014479247093200684
40,2.95,10,0.098,0.013492204666137696
40,2.975,10,0.078,0.0127656569480896
40,3.0,10,0.106,0.014096580505371093
40,3.025,10,0.086,0.0137088041305542
40,3.05,10,0.086,0.013447152137756348
40,3.075,10,0.096,0.013769855499267578
40,3.1,10,0.078,0.01272152328491211
40,3.125,10,0.096,0.013900336265563964
40,3.15,10,0.084,0.012545594215393066
40,3.175,10,0.084,0.01316535472869873
40,3.2,10,0.1,0.013067429065704345
40,3.225,10,0.066,0.01261772060394287
40,3.25,10,0.058,0.012464684963226318
40,3.275,10,0.06,0.011666051387786865
40,3.3,10,0.084,0.014613261222839355
40,3.325,10,0.078,0.01270153522491455
40,3.35,10,0.044,0.011220946311950683
40,3.375,10,0.072,0.011890841960906982
40,3.4,10,0.046,0.011672231197357177
40,3.425,10,0.05,0.010515186786651611
40,3.45,10,0.044,0.011243700504302978
40,3.475,10,0.058,0.011530375480651856
40,3.5,10,0.062,0.01215616750717163
40,3.525,10,0.058,0.011651621818542481
40,3.55,10,0.052,0.011495644569396973
40,3.575,10,0.06,0.01153417158126831
40,3.6,10,0.052,0.011356454849243164
40,3.625,10,0.052,0.011479456901550293
40,3.65,10,0.06,0.010983961582183838
40,3.675,10,0.038,0.011552034854888916
40,3.7,10,0.05,0.011378257751464844
40,3.725,10,0.04,0.0106639666557312
40,3.75,10,0.058,0.011874763488769532
40,3.775,10,0.048,0.011542127132415772
40,3.8,10,0.038,0.010756398677825928
40,3.825,10,0.038,0.010447858810424804
40,3.85,10,0.034,0.010165343761444092
40,3.875,10,0.036,0.01056867790222168
40,3.9,10,0.03,0.010845059871673585
40,3.925,10,0.048,0.011893545150756836
40,3.95,10,0.024,0.009697282791137695
40,3.975,10,0.036,0.011638015747070312
40,4.0,10,0.042,0.011062766551971435
40,4.025,10,0.032,0.010625632762908935
40,4.05,10,0.034,0.011261357307434081
40,4.075,10,0.036,0.010836511135101319
40,4.1,10,0.028,0.010219246864318847
40,4.125,10,0.026,0.010360421180725098
40,4.15,10,0.028,0.010682929515838623
40,4.175,10,0.024,0.010385570049285888
40,4.2,10,0.026,0.01049573040008545
40,4.225,10,0.024,0.010723443031311035
40,4.25,10,0.022,0.010335077285766601
40,4.275,10,0.036,0.010989097595214844
40,4.3,10,0.01,0.009490756034851075
40,4.325,10,0.03,0.010292683601379395
40,4.35,10,0.018,0.009886492729187011
40,4.375,10,0.022,0.009888073444366456
40,4.4,10,0.02,0.009618671894073486
40,4.425,10,0.018,0.00983970308303833
40,4.45,10,0.032,0.010651838779449464
40,4.475,10,0.022,0.010027899265289306
40,4.5,10,0.02,0.01015249252319336
40,4.525,10,0.012,0.009574321746826172
40,4.55,10,0.03,0.010755277156829834
40,4.575,10,0.014,0.00960103702545166
40,4.6,10,0.02,0.010511469841003419
40,4.625,10,0.02,0.010394207954406738
40,4.65,10,0.016,0.009933754444122315
40,4.675,10,0.012,0.009527095317840576
40,4.7,10,0.006,0.009210690021514893
40,4.725,10,0.022,0.010039530754089355
