Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
40,0.025,10,0.996,0.02668544101715088
40,0.05,10,0.996,0.026336838722229004
40,0.075,10,0.996,0.02714172887802124
40,0.1,10,0.996,0.02636789083480835
40,0.125,10,0.986,0.026610076427459717
40,0.15,10,0.988,0.026791663646697998
40,0.175,10,0.982,0.02685892677307129
40,0.2,10,0.988,0.026998435497283934
40,0.225,10,0.982,0.02716044282913208
40,0.25,10,0.978,0.027371553897857667
40,0.275,10,0.994,0.027543059825897217
40,0.3,10,0.986,0.027697287559509277
40,0.325,10,0.976,0.027439658164978026
40,0.35,10,0.966,0.027415276527404785
40,0.375,10,0.968,0.027633994102478028
40,0.4,10,0.97,0.02782472801208496
40,0.425,10,0.97,0.027956856727600097
40,0.45,10,0.984,0.028634850025177003
40,0.475,10,0.956,0.02799147653579712
40,0.5,10,0.932,0.028402685642242433
40,0.525,10,0.966,0.02840175914764404
40,0.55,10,0.96,0.028652302742004393
40,0.575,10,0.95,0.0286915602684021
40,0.6,10,0.948,0.0291201171875
40,0.625,10,0.96,0.028969499588012697
40,0.65,10,0.93,0.0292438759803772
40,0.675,10,0.898,0.02853099536895752
40,0.7,10,0.924,0.02944125461578369
40,0.725,10,0.93,0.02958889102935791
40,0.75,10,0.92,0.02923234796524048
40,0.775,10,0.884,0.02892572593688965
40,0.8,10,0.898,0.029199685096740723
40,0.825,10,0.89,0.028656096935272216
40,0.85,10,0.912,0.03021127939224243
40,0.875,10,0.9,0.029255860328674315
40,0.9,10,0.856,0.029805534839630127
40,0.925,10,0.862,0.028969937324523926
40,0.95,10,0.862,0.02898334312438965
40,0.975,10,0.838,0.029350035190582276
40,1.0,10,0.86,0.029362785816192626
40,1.025,10,0.838,0.028701586723327635
40,1.05,10,0.806,0.028851631164550782
40,1.075,10,0.774,0.028638415336608887
40,1.1,10,0.788,0.029471821308135988
40,1.125,10,0.792,0.029323060035705565
40,1.15,10,0.764,0.028841671466827392
40,1.175,10,0.718,0.028025035858154298
40,1.2,10,0.722,0.027577868938446045
40,1.225,10,0.74,0.02831103467941284
40,1.25,10,0.684,0.028313787937164308
40,1.275,10,0.698,0.027905522346496583
40,1.3,10,0.698,0.02774851894378662
40,1.325,10,0.676,0.027500085353851317
40,1.35,10,0.618,0.02619435214996338
40,1.375,10,0.602,0.026643128395080568
40,1.4,10,0.608,0.026075612545013428
40,1.425,10,0.606,0.02698199939727783
40,1.45,10,0.558,0.024839834690093994
40,1.475,10,0.538,0.024769461631774903
40,1.5,10,0.554,0.025297300338745117
40,1.525,10,0.524,0.0247214617729187
40,1.55,10,0.53,0.024975905895233155
40,1.575,10,0.492,0.024182588577270507
40,1.6,10,0.528,0.024552119731903077
40,1.625,10,0.488,0.02423815679550171
40,1.65,10,0.464,0.02347360038757324
40,1.675,10,0.45,0.02182680130004883
40,1.7,10,0.424,0.022545905590057373
40,1.725,10,0.428,0.021543665409088135
40,1.75,10,0.41,0.022157488346099853
40,1.775,10,0.378,0.02052572202682495
40,1.8,10,0.404,0.02125654745101929
40,1.825,10,0.368,0.020682383060455323
40,1.85,10,0.326,0.01922441053390503
40,1.875,10,0.362,0.02049736738204956
40,1.9,10,0.36,0.020791059494018556
40,1.925,10,0.338,0.020725229263305663
40,1.95,10,0.358,0.019402038097381592
40,1.975,10,0.318,0.018593249320983888
40,2.0,10,0.316,0.018494429111480713
40,2.025,10,0.294,0.018815763473510744
40,2.05,10,0.28,0.017653306484222413
40,2.075,10,0.254,0.016923413276672364
40,2.1,10,0.268,0.016944742202758788
40,2.125,10,0.25,0.0170395827293396
40,2.15,10,0.244,0.017961892604827882
40,2.175,10,0.23,0.016177164554595946
40,2.2,10,0.254,0.01660715913772583
40,2.225,10,0.224,0.015934557914733888
40,2.25,10,0.21,0.01519682502746582
40,2.275,10,0.23,0.015408493518829346
40,2.3,10,0.192,0.01540636157989502
40,2.325,10,0.198,0.014632980823516845
40,2.35,10,0.196,0.014485941410064698
40,2.375,10,0.178,0.014957369327545166
40,2.4,10,0.202,0.014920134544372559
40,2.425,10,0.204,0.014839714527130126
40,2.45,10,0.164,0.013459692001342774
40,2.475,10,0.166,0.013615946292877197
40,2.5,10,0.15,0.012765895366668702
40,2.525,10,0.17,0.014052517890930176
40,2.55,10,0.178,0.013567439079284668
40,2.575,10,0.146,0.012486160755157471
40,2.6,10,0.176,0.013789373397827149
