moving_param,concepts_count,axioms_count,prob_axioms_count,time_mean,time_std,iters_mean,iters_time_mean
concepts_count,10,10,10,0.009772984981536866,0.0033157759028781385,3.13,
axioms_count,10,10,10,0.009489951133728027,0.0029176440760328047,3.02,
prob_axioms_count,10,10,10,0.009672248363494873,0.0034755775644397693,3.21,
prob_axioms_count,10,10,20,0.01229370355606079,0.006923742340002642,4.06,
prob_axioms_count,10,10,30,0.021812031269073485,0.013222645453291935,5.0,
prob_axioms_count,10,10,40,0.06283589839935302,0.04272747961222286,4.96,
prob_axioms_count,10,10,50,0.07317222595214844,0.05326697209598656,5.04,
prob_axioms_count,10,10,60,0.08712641000747681,0.06728668364797663,5.17,
prob_axioms_count,10,10,70,0.10680542707443237,0.07858715471307988,5.64,
prob_axioms_count,10,10,80,0.12303446531295777,0.10533658653049285,5.38,
prob_axioms_count,10,10,90,0.1444619631767273,0.12681249401865502,5.69,
prob_axioms_count,10,10,100,0.1915825843811035,0.16607151730822342,6.49,
prob_axioms_count,10,10,110,0.1954101538658142,0.209983774793567,5.69,
prob_axioms_count,10,10,120,0.24410053253173827,0.23447993349998927,6.09,
prob_axioms_count,10,10,130,0.3544138836860657,0.29691677839749486,7.68,
prob_axioms_count,10,10,140,0.4401616740226746,0.3505412241147285,8.29,
prob_axioms_count,10,10,150,0.5740570998191834,0.44353239417655893,9.31,
prob_axioms_count,10,10,160,0.6232750248908997,0.5684338011266832,8.71,
prob_axioms_count,10,10,170,0.6772896766662597,0.6045313608307629,8.47,
prob_axioms_count,10,10,180,0.8637679648399353,0.7582869579083208,9.42,
prob_axioms_count,10,10,190,1.0442790508270263,0.813556512923435,10.08,
