moving_param,concepts_count,axioms_count,prob_axioms_count,time_mean,time_std,iters_mean,iters_time_mean
concepts_count,10,10,10,0.011921572685241699,0.004483164737224842,2.8,0.0014370067914326987
axioms_count,10,10,10,0.011649847030639648,0.004320272530364168,3.1,0.001445164680480957
prob_axioms_count,10,10,10,0.009364914894104005,0.0035464610973798905,1.8,0.0009432212511698405
prob_axioms_count,10,10,20,0.01725771427154541,0.007918824545874241,4.7,0.0024326970463707334
prob_axioms_count,10,10,30,0.017423796653747558,0.013402983416850067,3.4,0.00195328882762364
prob_axioms_count,10,10,40,0.07484176158905029,0.02863591524631295,5.8,0.01025049334480649
prob_axioms_count,10,10,50,0.05306024551391601,0.047003719319614744,3.6,0.006050875782966614
prob_axioms_count,10,10,60,0.05339391231536865,0.055708321966797474,3.4,0.007303569152519537
prob_axioms_count,10,10,70,0.08132774829864502,0.08054598176218955,4.1,0.006475103916702689
prob_axioms_count,10,10,80,0.2042938470840454,0.11691034443663123,9.9,0.01546138555972607
prob_axioms_count,10,10,90,0.14121291637420655,0.11715258521621438,5.2,0.015384231119444874
prob_axioms_count,10,10,100,0.14360859394073486,0.13371528761466178,5.1,0.014346563270339719
prob_axioms_count,10,10,110,0.11852810382843018,0.14506905847052973,3.2,0.013814047701431043
prob_axioms_count,10,10,120,0.3214350461959839,0.26055683250715356,8.1,0.022241892390622582
prob_axioms_count,10,10,130,0.4657537221908569,0.3197483781298857,9.9,0.035379122874953525
prob_axioms_count,10,10,140,0.6222414016723633,0.28764739036604325,11.7,0.05635122868858996
prob_axioms_count,10,10,150,0.3123372316360474,0.34670925078031917,5.1,0.022203142628386303
prob_axioms_count,10,10,160,0.5298097133636475,0.5038918178443477,7.4,0.03333538740044959
prob_axioms_count,10,10,170,0.5251543045043945,0.49679136537381324,6.7,0.06213025735448814
prob_axioms_count,10,10,180,0.8727963209152222,0.7531543958744261,9.6,0.059373673890636934
prob_axioms_count,10,10,190,0.909817099571228,0.732158025637365,8.8,0.05912574553189158
